"","FINAL.mud","FINAL.rho","FINAL..LRT.pval.","FINAL.delta1","HM","DL","BA","FINAL.delta2","LI","FINAL.delta3","HE1","HE2"
"1",0.4,-0.8,2.61e-06,0.210464444,"X","X","X",0.207282444,"X",0.203602356,"X","X"
"2",0.4,-0.7,9.47e-05,0.166913333,"X","X","X",0.16340252,"X",0.161640938,"X","X"
"3",0.4,-0.6,0.000833192,0.145586667,"O","X","X",0.142543657,"X",0.142804793,"X","X"
"4",0.4,-0.5,0.003403208,0.129144444,"O","O","O",0.127411279,"O",0.128087448,"O","X"
"5",0.4,-0.4,0.009376026,0.122221111,"O","O","O",0.119605393,"O",0.121917391,"O","X"
"6",0.4,-0.3,0.017939856,0.112742222,"O","O","O",0.111942235,"O",0.115463479,"O","X"
"7",0.4,-0.2,0.033379591,0.111863333,"O","O","O",0.110910176,"O",0.116249624,"O","X"
"8",0.4,-0.1,0.049712123,0.108324445,"O","O","O",0.105565399,"O",0.114886023,"O","X"
"9",0.4,0,0.076602988,0.104423333,"O","O","O",0.103221511,"O",0.114942681,"O","X"
"10",0.4,0.1,0.092555062,0.098767778,"O","O","O",0.097988123,"O",0.113640157,"O","X"
"11",0.4,0.2,0.137404493,0.100886667,"O","O","O",0.099626165,"O",0.122416181,"X","X"
"12",0.4,0.3,0.160025783,0.097545556,"O","O","O",0.096824758,"O",0.123312019,"X","X"
"13",0.4,0.4,0.188385526,0.096407778,"O","O","O",0.094762078,"O",0.129835997,"X","X"
"14",0.4,0.5,0.209448518,0.092461111,"O","O","O",0.091550264,"O",0.133417583,"X","X"
"15",0.4,0.6,0.256412839,0.092337778,"O","O","O",0.090852052,"O",0.134475483,"X","X"
"16",0.4,0.7,0.2960817,0.088261111,"O","O","O",0.088702661,"O",0.124156223,"X","X"
"17",0.4,0.8,0.296554665,0.089617778,"O","O","O",0.088574817,"O",0.103568733,"O","X"
"18",0.45,-0.8,6.92e-07,0.222162222,"X","X","X",0.218315897,"X",0.214498778,"X","X"
"19",0.45,-0.7,3.71e-05,0.178402222,"X","X","X",0.175340683,"X",0.173173979,"X","X"
"20",0.45,-0.6,0.000418266,0.152411111,"X","X","X",0.149576499,"X",0.149520619,"X","X"
"21",0.45,-0.5,0.001661616,0.138326667,"O","O","O",0.13625967,"X",0.136790725,"X","X"
"22",0.45,-0.4,0.005267908,0.122315556,"O","O","O",0.121548727,"O",0.122460029,"O","X"
"23",0.45,-0.3,0.01061075,0.116986667,"O","O","O",0.11625403,"O",0.119596825,"O","X"
"24",0.45,-0.2,0.017115746,0.114258889,"O","O","O",0.112301689,"O",0.118709942,"O","X"
"25",0.45,-0.1,0.031354716,0.112168889,"O","O","O",0.110043572,"O",0.11911091,"O","X"
"26",0.45,0,0.049571905,0.108495556,"O","O","O",0.105808628,"O",0.118309621,"O","X"
"27",0.45,0.1,0.063159998,0.102867778,"O","O","O",0.101669496,"O",0.118527854,"O","X"
"28",0.45,0.2,0.102355914,0.10021,"O","O","O",0.098416452,"O",0.12077164,"X","X"
"29",0.45,0.3,0.133093307,0.098702222,"O","O","O",0.097997038,"O",0.125989947,"X","X"
"30",0.45,0.4,0.156900376,0.098821111,"O","O","O",0.097652304,"O",0.135067034,"X","X"
"31",0.45,0.5,0.193305732,0.095237778,"O","O","O",0.094668908,"O",0.140515602,"X","X"
"32",0.45,0.6,0.215871401,0.09421,"O","O","O",0.092968467,"O",0.140247269,"X","X"
"33",0.45,0.7,0.24178216,0.091705556,"O","O","O",0.091387882,"O",0.136920359,"X","X"
"34",0.45,0.8,0.29810122,0.08768,"O","O","O",0.087357947,"O",0.115402078,"O","X"
"35",0.5,-0.8,2.19e-07,0.230677778,"X","X","X",0.227623926,"X",0.222862346,"X","X"
"36",0.5,-0.7,1.51e-05,0.191245556,"X","X","X",0.188342908,"X",0.186037641,"X","X"
"37",0.5,-0.6,0.000190805,0.158506667,"X","X","X",0.157046335,"X",0.155300309,"X","X"
"38",0.5,-0.5,0.000885777,0.143252222,"O","X","X",0.141232421,"X",0.142030397,"X","X"
"39",0.5,-0.4,0.002882902,0.131125556,"O","O","O",0.128472484,"O",0.131445482,"O","X"
"40",0.5,-0.3,0.006012002,0.119143333,"O","O","O",0.118654235,"O",0.122006621,"O","X"
"41",0.5,-0.2,0.013013879,0.116401111,"O","O","O",0.115109113,"O",0.121754269,"O","X"
"42",0.5,-0.1,0.020986339,0.1135,"O","O","O",0.11224304,"O",0.121012329,"O","X"
"43",0.5,0,0.032585427,0.111616667,"O","O","O",0.111108928,"O",0.123551862,"O","X"
